dataset,model,batch_no,model_id,stage,attempt,error
tweet_sentiment,qwen_1_5b,1,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec71ed-79d39388617d826845e3263f;7542d6ba-199e-49ea-a9f6-3e1bd1ecee7b)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,1,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec71ed-424130d979d6320b5156d1d3;843f61c2-3abd-439b-bab4-2528ed8f6fd5)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,with_logprobs,1,"(Request ID: req_01kq1st4kye29vsfczwaj84ykb)

Bad request:
{'message': '`logprobs` is not supported with this model', 'type': 'invalid_request_error', 'param': 'logprobs'}"
tweet_sentiment,mixtral_8x22b,1,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec71f1-702f619f78231a76199e7890;5179ccc9-c8b6-4c0f-8d9b-73af578ada66)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,1,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec71f1-4896f6da424b4bd009605cba;da979eac-b8d5-49e4-ace7-3b5598edc44e)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,2,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec71f1-7e7049d7611099aa6d23af88;aac90a0b-289e-4d98-b1f9-860361bdfa55)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,2,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec71f1-3bd7121b6d00ffa929046532;9f5b1227-2b89-4165-935f-984d37ca1b98)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,2,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec71f5-704f04e761ec169f754c28b7;486abab0-8723-47d3-9ea9-48b5493b8025)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,2,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec71f5-052c27001d487bcf6c4f84c1;eeccb641-8724-43d3-a150-8a5ae8b6ab29)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,3,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec71f5-3c187c3b1e31f0066088f09e;0574c0c8-0748-4a13-b397-a3892597f115)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,3,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec71f5-25d1f5a4026d1fec3b811829;d41db06d-9fcd-4b9e-8955-312b62dd7119)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,llama_8b,3,meta-llama/Meta-Llama-3-8B-Instruct,with_logprobs,1,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec71f5-58eac2911d7236aa0673f9a8;64c01a21-8b17-464b-a5d5-894ca0431cb1)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,llama_8b,3,meta-llama/Meta-Llama-3-8B-Instruct,with_logprobs,2,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec7213-01c3b2da6dfb35f632652300;e15882e9-b810-47a9-81ea-a1bda73cdeff)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,3,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec7235-052e4b9027bb19d409c2d7dd;a7713f57-bdd0-42f1-9523-8c25cb8f0dd7)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,3,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec7235-0fecb9fc55aa78ce72b5a5e3;40aefbd9-572f-4a98-92c1-320768aa271d)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,4,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec7236-27984bac1facbd51357c3c8b;5fd1705e-0965-4cd9-a06e-9d0c26994b28)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
